"product_name","date_received","date_sent","date_difference","days"
"Consumer Loan","2013-07-29","2013-07-30",1,2
"Bank account or service","2013-07-29","2013-07-31",2,3
"Bank account or service","2013-07-29","2013-07-31",2,3
"Bank account or service","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Bank account or service","2013-07-29","2013-07-30",1,2
"Debt collection","2013-07-29","2013-08-07",9,10
"Debt collection","2013-07-29","2013-08-01",3,4
"Credit card","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Debt collection","2013-07-29","2013-08-01",3,4
"Debt collection","2013-07-29","2013-08-01",3,4
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Credit card","2013-07-29","2013-07-29",0,1
"Credit reporting","2013-07-29","2013-07-29",0,1
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-08-01",3,4
"Bank account or service","2013-07-29","2013-08-01",3,4
"Credit reporting","2013-07-29","2013-07-29",0,1
"Student loan","2013-07-29","2013-07-30",1,2
"Debt collection","2013-07-29","2013-08-01",3,4
"Mortgage","2013-07-29","2013-08-02",4,5
"Mortgage","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-08-02",4,5
"Consumer Loan","2013-07-29","2013-08-05",7,8
"Mortgage","2013-07-29","2013-08-06",8,9
"Bank account or service","2013-07-29","2013-07-30",1,2
"Credit card","2013-07-29","2013-07-29",0,1
"Mortgage","2013-07-29","2013-07-30",1,2
"Bank account or service","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Credit card","2013-07-31","2013-08-07",7,8
"Student loan","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-31",2,3
"Mortgage","2013-07-29","2013-08-01",3,4
"Debt collection","2013-07-29","2013-12-04",128,129
"Mortgage","2013-07-29","2013-07-30",1,2
"Bank account or service","2013-07-29","2013-07-30",1,2
"Mortgage","2013-07-29","2013-07-30",1,2
"Credit reporting","2013-07-29","2013-07-29",0,1
"Mortgage","2013-07-29","2013-08-01",3,4
"Credit card","2013-07-29","2013-07-29",0,1
"Bank account or service","2013-07-29","2013-08-05",7,8
"Bank account or service","2013-07-29","2013-07-30",1,2
